Course Name,Course Fees,Course Link,Course_Certificate,Notes
Advanced Law of Attraction,15000,https://miteshkhatri.com/JoinALOA,No,
Wealth Mastery,15000,https://miteshkhatri.com/JoinWM,No,
Relationship Mastery,15000,https://miteshkhatri.com/RM,No,
Health Mastery,15000,https://checkout.miteshkhatri.com/checkout/Health-WEB,No,
Hoâ€™oponopono Healer Certification,51000,https://checkout.miteshkhatri.com/HoPo-Aevent,Yes,
NLP Masterclass,29500,https://www.miteshkhatri.com/nlp/,Yes,
LOA Handwriting Frequency,5900,https://checkout.miteshkhatri.com/checkout/HandLevel1,No,
Platinum Membership,399200,https://www.miteshkhatri.com/platinum-membership-2/,Yes,"15000 booking fee, 399200 total"
Manifest with Chakra ,5900,https://www.miteshkhatri.com/ChakraWebinar,No,
Daily Magic Practise  ( DMP ),1000,https://www.miteshkhatri.com/daily-magic-practice/,No,